DISTRICT,SUB-DISTRICTS,STATE,AREA-KM2,POPULATION,LITERACY-PCT
Ludhiana,Tehsils,Punjab,3578,3498739,82.2
Lunglei,Blocks,Mizoram,4536,161428,88.86
Madhepura,Blocks,Bihar,1788,2001762,52.25
Madhubani,Blocks,Bihar,3501,4487379,58.62
Madurai,Talukas,Tamil Nadu,3710,3038252,83.45
Mahamaya Nagar,Tehsils,Uttar Pradesh,1840,1564708,71.59
Maharajganj,Tehsils,Uttar Pradesh,2952,2684703,62.76
Mahasamund,Tehsils,Chhattisgarh,4790,1032754,71.02
Mahbubnagar,Mandals,Andhra Pradesh,18432,4053028,55.04
Mahe,Commune Panchayats,Puducherry,9,41816,97.87
Mahendragarh,Tehsils,Hariyana,1899,922088,77.72
Mahesana,Talukas,Gujarat,4401,2035064,83.61
Mahoba,Tehsils,Uttar Pradesh,3144,875958,65.27
Mainpuri,Tehsils,Uttar Pradesh,2760,1868529,75.99
Malappuram,Talukas,Kerala,3554,4112920,93.57
Maldah,Blocks,West Bengal,3733,3988845,61.73
Malkangiri,Blocks,Odisha,5791,613192,48.54
Mamit,Blocks,Mizoram,3025,86364,84.93
Mandi,Tehsils,Himachal Pradesh,3950,999777,81.53
Mandla,Tehsils,Madhya Pradesh,5800,1054905,66.87
Mandsaur,Tehsils,Madhya Pradesh,5535,1340411,71.78
Mandya,Talukas,Karnataka,4962,1805769,70.4
Mansa,Tehsils,Punjab,2198,769751,61.83
Mathura,Tehsils,Uttar Pradesh,3340,2547184,70.36
Mau,Tehsils,Uttar Pradesh,1713,2205968,73.09
Mayurbhanj,Blocks,Odisha,10418,2519738,63.17
Medak,Mandals,Andhra Pradesh,9699,3033288,61.42
Meerut,Tehsils,Uttar Pradesh,2559,3443689,72.84
Mewat,Tehsils,Hariyana,1507,1089263,54.08
Mirzapur,Tehsils,Uttar Pradesh,4405,2496970,68.48
Moga,Tehsils,Punjab,2242,995746,70.68
Mokokchung,Circles,Nagaland,1615,194622,91.62
Mon,Circles,Nagaland,1786,250260,56.99
Moradabad,Tehsils,Uttar Pradesh,3718,4772006,56.77
Morena,Tehsils,Madhya Pradesh,4989,1965970,71.03
Morigaon,Circles,Assam,1551,957423,68.03
Muktsar,Tehsils,Punjab,2593,901896,65.81
Mumbai,Talukas,Maharashtra,157,3085411,89.21
Mumbai Suburban,Talukas,Maharashtra,446,9356962,89.91
Munger,Blocks,Bihar,1419,1367765,70.46
Murshidabad,Blocks,West Bengal,5324,7103807,66.59
Muzaffarnagar,Tehsils,Uttar Pradesh,4008,4143512,69.12
