DISTRICT,SUB-DISTRICTS,STATE,AREA-KM2,POPULATION,LITERACY-PCT
Basti,Tehsils,Uttar Pradesh,2688,2464464,67.22
Bathinda,Tehsils,Punjab,3353,1388525,68.28
Baudh,Blocks,Odisha,3098,441162,71.61
Begusarai,Blocks,Bihar,1918,2970541,63.87
Belgaum,Talukas,Karnataka,13433,4779661,73.48
Bellary,Talukas,Karnataka,8461,2452595,67.43
Betul,Tehsils,Madhya Pradesh,10043,1575362,68.9
Bhadrak,Blocks,Odisha,2505,1506337,82.78
Bhagalpur,Blocks,Bihar,2569,3037766,63.14
Bhandara,Talukas,Maharashtra,4087,1200334,83.76
Bharatpur,Tehsils,Rajasthan,5066,2548462,70.11
Bharuch,Talukas,Gujarat,6509,1551019,81.51
Bhavnagar,Talukas,Gujarat,10034,2880365,75.52
Bhilwara,Tehsils,Rajasthan,10455,2408523,61.37
Bhind,Tehsils,Madhya Pradesh,4459,1703005,75.26
Bhiwani,Tehsils,Hariyana,4778,1634445,75.21
Bhojpur,Blocks,Bihar,2395,2728407,70.47
Bhopal,Tehsils,Madhya Pradesh,2772,2371061,80.37
Bid,Talukas,Maharashtra,10693,2585049,76.99
Bidar,Talukas,Karnataka,5448,1703300,70.51
Bijapur,Tehsils,Chhattisgarh,8530,255230,40.86
Bijapur,Talukas,Karnataka,10498,2177331,67.15
Bijnor,Tehsils,Uttar Pradesh,4561,3682713,68.48
Bikaner,Tehsils,Rajasthan,30239,2363937,65.13
Bilaspur,Tehsils,Himachal Pradesh,1167,381956,84.59
Bilaspur,Tehsils,Chhattisgarh,8272,2663629,70.78
Birbhum,Blocks,West Bengal,4545,3502404,70.68
Bishnupur,Sub-Divisions,Manipur,496,237399,75.85
Bokaro,Blocks,Jharkhand,2883,2062330,72.01
Bongaigaon,Circles,Assam,1093,738804,69.74
Budaun,Tehsils,Uttar Pradesh,5168,3681896,51.29
Bulandshahar,Tehsils,Uttar Pradesh,4512,3499171,68.88
Buldana,Talukas,Maharashtra,9661,2586258,83.4
Bundi,Tehsils,Rajasthan,5776,1110906,61.52
Burhanpur,Tehsils,Madhya Pradesh,3427,757847,64.36
Buxar,Blocks,Bihar,1703,1706352,70.14
Cachar,Circles,Assam,3786,1736617,79.34
Central,Tehsils,Delhi,21,582320,85.14
Chamarajanagar,Talukas,Karnataka,5648,1020791,61.43
Chamba,Tehsils,Himachal Pradesh,6522,519080,72.17
Chamoli,Tehsils,Uttarakhand,8030,391605,82.65
Champawat,Tehsils,Uttarakhand,1766,259648,79.83
Champhai,Blocks,Mizoram,3185,125745,95.91
Chandauli,Tehsils,Uttar Pradesh,2541,1952756,71.48
Chandel,Sub-Divisions,Manipur,3313,144182,71.11
Chandigarh,Tehsils,Chandigarh,114,1055450,86.05
Chandrapur,Talukas,Maharashtra,11443,2204307,80.01
Changlang,Circles,Arunachal Pradesh,4662,148226,59.8
Chatra,Blocks,Jharkhand,3718,1042886,60.18
Chennai,Talukas,Tamil Nadu,175,4646732,90.18
Chhatarpur,Tehsils,Madhya Pradesh,8687,1762375,63.74
Chhindwara,Tehsils,Madhya Pradesh,11815,2090922,71.16
Chikkaballapura,Talukas,Karnataka,4244,1255104,69.76
Chikmagalur,Talukas,Karnataka,7202,1137961,79.25
Chirang,Circles,Assam,1923,482162,63.55
Chitradurga,Talukas,Karnataka,8436,1659456,73.71
Chitrakoot,Tehsils,Uttar Pradesh,3216,991730,65.05
Chittaurgarh,Tehsils,Rajasthan,7822,1544338,61.71
Chittoor,Mandals,Andhra Pradesh,15152,4174064,71.53
Churachandpur,Sub-Divisions,Manipur,4570,274143,82.78
Churu,Tehsils,Rajasthan,13835,2039547,66.75
Coimbatore,Talukas,Tamil Nadu,4732,3458045,83.98
Cuddalore,Talukas,Tamil Nadu,3703,2605914,78.04
Cuttack,Blocks,Odisha,3932,2624470,85.5
Dadra & Nagar Haveli,Talukas,Dadra and Nagar Haveli,491,343709,76.24
Dahod,Talukas,Gujarat,3642,2127086,58.82
Dakshin Bastar Dantewada,Tehsils,Chhattisgarh,8298,533638,42.12
Dakshin Dinajpur,Blocks,West Bengal,2219,1676276,72.82
Dakshina Kannada,Talukas,Karnataka,4861,2089649,88.57
Daman,Talukas,Daman and Diu,72,191173,88.07
Damoh,Tehsils,Madhya Pradesh,7306,1264219,69.73
Darbhanga,Blocks,Bihar,2279,3937385,56.56
Darjiling,Blocks,West Bengal,3149,1846823,79.56
Darrang,Circles,Assam,1585,928500,63.08
Datia,Tehsils,Madhya Pradesh,2902,786754,72.63
Dausa,Tehsils,Rajasthan,3432,1634409,68.16
Davanagere,Talukas,Karnataka,5924,1945497,75.74
Debagarh,Blocks,Odisha,2940,312520,72.57
Dehradun,Tehsils,Uttarakhand,3088,1696694,84.25
Deoghar,Blocks,Jharkhand,2477,1492073,64.85
Deoria,Tehsils,Uttar Pradesh,2540,3100946,71.13
Dewas,Tehsils,Madhya Pradesh,7020,1563715,69.35
Dhalai,Blocks,Tripura,2400,378230,85.72
Dhamtari,Tehsils,Chhattisgarh,4084,799781,78.36
Dhanbad,Blocks,Jharkhand,2040,2684487,74.52
Dhar,Tehsils,Madhya Pradesh,8153,2185793,59
Dharmapuri,Talukas,Tamil Nadu,4497,1506843,68.54
Dharwad,Talukas,Karnataka,4260,1847023,80
Dhaulpur,Tehsils,Rajasthan,3033,1206516,69.08
Dhemaji,Circles,Assam,3237,686133,72.7
Dhenkanal,Blocks,Odisha,4452,1192811,78.76
Dhubri,Circles,Assam,2176,1949258,58.34
Dhule,Talukas,Maharashtra,7195,2050862,72.8
Dibang Valley,Circles,Arunachal Pradesh,9129,8004,64.1
Dibrugarh,Circles,Assam,3381,1326335,76.05
Dima Hasao,Circles,Assam,4888,214102,77.54
Dimapur,Circles,Nagaland,927,378811,84.79
Dindigul,Talukas,Tamil Nadu,6036,2159775,76.26
Dindori,Tehsils,Madhya Pradesh,7470,704524,63.9
Diu,Talukas,Daman and Diu,39,52074,83.46
Doda,Tehsils,Jammu and Kashmir,8912,409936,64.68
Dumka,Blocks,Jharkhand,3761,1321442,61.02
Dungarpur,Tehsils,Rajasthan,3770,1388552,59.46
Durg,Tehsils,Chhattisgarh,8535,3343872,79.06
East,Tehsils,Delhi,63,1709346,89.31
East District,Sub-Divisions,Sikkim,954,283583,83.85
East Garo Hills,Blocks,Meghalaya,2603,317917,73.95
East Godavari,Mandals,Andhra Pradesh,10807,5154296,70.99
East Kameng,Circles,Arunachal Pradesh,4134,78690,60.02
East Khasi Hills,Blocks,Meghalaya,2748,825922,84.15
East Siang,Circles,Arunachal Pradesh,3603,99214,72.54
Ernakulam,Talukas,Kerala,3063,3282388,95.89
Erode,Talukas,Tamil Nadu,5760,2251744,72.58
Etah,Tehsils,Uttar Pradesh,2431,1774480,70.81
Etawah,Tehsils,Uttar Pradesh,2311,1581810,78.41
Faizabad,Tehsils,Uttar Pradesh,2341,2470996,68.73
Faridabad,Tehsils,Hariyana,741,1809733,81.7
Faridkot,Tehsils,Punjab,1458,617508,69.55
Farrukhabad,Tehsils,Uttar Pradesh,2181,1885204,69.04
Fatehabad,Tehsils,Hariyana,2538,942011,67.92
Fatehgarh Sahib,Tehsils,Punjab,1180,600163,79.35
Fatehpur,Tehsils,Uttar Pradesh,4152,2632733,67.43
Firozabad,Tehsils,Uttar Pradesh,2407,2498156,71.92
Firozpur,Tehsils,Punjab,5305,2029074,68.92
Gadag,Talukas,Karnataka,4657,1064570,75.12
Gadchiroli,Talukas,Maharashtra,14412,1072942,74.36
Gajapati,Blocks,Odisha,4325,577817,53.49
Ganderbal,Tehsils,Jammu and Kashmir,259,297446,58.04
Gandhinagar,Talukas,Gujarat,2140,1391753,84.16
Ganganagar,Tehsils,Rajasthan,10978,1969168,69.64
Ganjam,Blocks,Odisha,8206,3529031,71.09
Garhwa,Blocks,Jharkhand,4093,1322784,60.33
Garhwal,Tehsils,Uttarakhand,5329,687271,82.02
Gautam Buddha Nagar,Tehsils,Uttar Pradesh,1282,1648115,80.12
Gaya,Blocks,Bihar,4976,4391418,63.67
Ghaziabad,Tehsils,Uttar Pradesh,1179,4681645,78.07
Ghazipur,Tehsils,Uttar Pradesh,3377,3620268,71.78
Giridih,Blocks,Jharkhand,4962,2445474,63.14
Goalpara,Circles,Assam,1824,1008183,67.37
Godda,Blocks,Jharkhand,2266,1313551,56.4
Golaghat,Circles,Assam,3502,1066888,77.43
Gonda,Tehsils,Uttar Pradesh,4003,3433919,58.71
Gondiya,Talukas,Maharashtra,5234,1322507,84.95
Gopalganj,Blocks,Bihar,2033,2562012,65.47
Gorakhpur,Tehsils,Uttar Pradesh,3321,4440895,70.83
Gulbarga,Talukas,Karnataka,10954,2566326,64.85
Gumla,Blocks,Jharkhand,5360,1025213,65.73
Guna,Tehsils,Madhya Pradesh,6390,1241519,63.23
Guntur,Mandals,Andhra Pradesh,11391,4887813,67.4
Gurdaspur,Tehsils,Punjab,3551,2298323,79.95
Gurgaon,Tehsils,Hariyana,1258,1514432,84.7
Gwalior,Tehsils,Madhya Pradesh,4560,2032036,76.65
Hailakandi,Circles,Assam,1327,659296,74.33
Hamirpur,Tehsils,Himachal Pradesh,1118,454768,88.15
Hamirpur,Tehsils,Uttar Pradesh,4021,1104285,68.77
Hanumangarh,Tehsils,Rajasthan,9656,1774692,67.13
Haora,Blocks,West Bengal,1467,4850029,83.31
Harda,Tehsils,Madhya Pradesh,3334,570465,72.5
Hardoi,Tehsils,Uttar Pradesh,5986,4092845,64.57
Hardwar,Tehsils,Uttarakhand,2360,1890422,73.43
Hassan,Talukas,Karnataka,6814,1776421,76.07
Haveri,Talukas,Karnataka,4823,1597668,77.4
Hazaribagh,Blocks,Jharkhand,3555,1734495,69.75
Hingoli,Talukas,Maharashtra,4827,1177345,78.17
Hisar,Tehsils,Hariyana,3983,1743931,72.89
Hoshangabad,Tehsils,Madhya Pradesh,6703,1241350,75.29
Hoshiarpur,Tehsils,Punjab,3386,1586625,84.59
Hugli,Blocks,West Bengal,3149,5519145,81.8
Hyderabad,Mandals,Andhra Pradesh,217,3943323,83.25
Idukki,Talukas,Kerala,4356,1108974,91.99
Imphal East,Sub-Divisions,Manipur,709,456113,81.95
Imphal West,Sub-Divisions,Manipur,519,517992,86.08
Indore,Tehsils,Madhya Pradesh,3898,3276697,80.87
Jabalpur,Tehsils,Madhya Pradesh,5211,2463289,81.07
Jagatsinghapur,Blocks,Odisha,1668,1136971,86.59
Jaintia Hills,Blocks,Meghalaya,3819,395124,61.64
Jaipur,Tehsils,Rajasthan,11143,6626178,75.51
Jaisalmer,Tehsils,Rajasthan,38401,669919,57.22
Jajapur,Blocks,Odisha,2899,1827192,80.13
Jalandhar,Tehsils,Punjab,2624,2193590,82.48
Jalaun,Tehsils,Uttar Pradesh,4565,1689974,73.75
Jalgaon,Talukas,Maharashtra,11765,4229917,78.2
Jalna,Talukas,Maharashtra,7718,1959046,71.52
Jalor,Tehsils,Rajasthan,10640,1828730,54.86
Jalpaiguri,Blocks,West Bengal,6227,3872846,73.25
Jammu,Tehsils,Jammu and Kashmir,2342,1529958,83.45
